He,O,N2,O2,Ar,Tn,alt_km,lat,lon
71195089000000.0,4.0038616e+17,4.2332443e+18,8.4251927e+17,3.6685094e+16,206.53,105.5,-31.17,-70.81
68565294000000.0,3.876678e+17,3.9089367e+18,7.684429e+17,3.3290738e+16,206.92,106.0,-31.17,-70.81
66072871000000.0,3.7474978e+17,3.6079982e+18,7.0036905e+17,3.0179988e+16,207.44,106.5,-31.17,-70.81
63705526000000.0,3.6169579e+17,3.3287385e+18,6.3784291e+17,2.7331561e+16,208.11,107.0,-31.17,-70.81
61452052000000.0,3.4856391e+17,3.0696138e+18,5.8044579e+17,2.4725805e+16,208.95,107.5,-31.17,-70.81
59302136000000.0,3.3540616e+17,2.8292048e+18,5.2779204e+17,2.2344499e+16,209.98,108.0,-31.17,-70.81
57246390000000.0,3.222695e+17,2.6062106e+18,4.795252e+17,2.0170743e+16,211.23,108.5,-31.17,-70.81
55276103000000.0,3.0919555e+17,2.3994233e+18,4.3531404e+17,1.8188748e+16,212.72,109.0,-31.17,-70.81
53383197000000.0,2.9622029e+17,2.207723e+18,3.9485081e+17,1.6383748e+16,214.48,109.5,-31.17,-70.81
51560164000000.0,2.8337517e+17,2.0300678e+18,3.5784839e+17,1.4741952e+16,216.54,110.0,-31.17,-70.81
49801060000000.0,2.70695e+17,1.8655407e+18,3.2404896e+17,1.325085e+16,218.93,110.5,-31.17,-70.81
48104317000000.0,2.5824123e+17,1.7134811e+18,2.9324432e+17,1.1900219e+16,221.66,111.0,-31.17,-70.81
46469101000000.0,2.4607165e+17,1.5732445e+18,2.6523351e+17,1.068012e+16,224.72,111.5,-31.17,-70.81
44894232000000.0,2.3423226e+17,1.4441541e+18,2.3981407e+17,9580544100000000.0,228.11,112.0,-31.17,-70.81
43378297000000.0,2.2275908e+17,1.325518e+18,2.1678691e+17,8591648800000000.0,231.84,112.5,-31.17,-70.81
41919770000000.0,2.116793e+17,1.2166462e+18,1.9595866e+17,7703909100000000.0,235.91,113.0,-31.17,-70.81
40517048000000.0,2.0101266e+17,1.1168585e+18,1.7714423e+17,6908225700000000.0,240.31,113.5,-31.17,-70.81
39168529000000.0,1.9077276e+17,1.025496e+18,1.6016832e+17,6196010000000000.0,245.06,114.0,-31.17,-70.81
37872657000000.0,1.8096788e+17,9.4192564e+17,1.4486603e+17,5559230100000000.0,250.14,114.5,-31.17,-70.81
36627926000000.0,1.7160179e+17,8.6554462e+17,1.3108363e+17,4990430400000000.0,255.57,115.0,-31.17,-70.81
