ALO Lidar Data on 20200126

UT (hour) for each column
   1.3000    1.4000    1.5000    1.6000    1.7000    1.8000    1.9000    2.0000    2.1000    2.2000    2.3000    2.4000    2.5000    2.6000    2.7000    2.8000    2.9000    3.0000    3.1000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  9.3692e+02   8.9958e+02   8.3238e+02   6.7616e+02   5.4318e+02   4.5026e+02   3.7886e+02   3.2759e+02   2.8696e+02   2.6699e+02   2.7570e+02   3.2631e+02   3.6783e+02   4.3459e+02   5.0813e+02   5.7054e+02   5.4278e+02   5.3303e+02   5.5024e+02 
  8.8691e+02   8.5002e+02   8.0029e+02   6.5275e+02   5.1818e+02   4.2327e+02   3.8581e+02   3.5598e+02   3.5824e+02   3.7241e+02   4.0803e+02   4.7918e+02   5.2362e+02   5.5977e+02   6.2133e+02   6.7164e+02   6.3634e+02   6.4098e+02   6.8166e+02 
  8.4553e+02   8.1959e+02   7.6236e+02   6.2411e+02   5.2068e+02   4.5440e+02   4.5035e+02   4.6295e+02   4.8796e+02   5.0060e+02   5.3307e+02   5.8571e+02   6.0316e+02   6.2495e+02   7.0246e+02   7.7595e+02   7.4616e+02   7.4906e+02   7.9734e+02 
  8.1316e+02   7.9312e+02   7.2698e+02   6.0275e+02   5.4949e+02   5.3035e+02   5.5570e+02   6.0260e+02   6.0954e+02   5.9711e+02   6.0582e+02   6.3638e+02   6.4901e+02   6.8779e+02   7.9850e+02   9.1350e+02   8.8022e+02   8.5616e+02   8.7453e+02 
  7.7178e+02   7.5484e+02   6.9896e+02   6.1733e+02   6.0250e+02   6.0893e+02   6.2608e+02   6.5617e+02   6.6511e+02   6.4364e+02   6.4989e+02   6.8401e+02   7.1515e+02   7.8560e+02   9.1994e+02   1.0092e+03   9.6369e+02   9.1843e+02   9.2762e+02 
  7.2492e+02   7.1417e+02   6.8801e+02   6.5053e+02   6.3427e+02   6.2571e+02   6.3269e+02   6.8759e+02   7.3221e+02   6.9959e+02   7.0259e+02   7.5531e+02   8.2645e+02   9.1385e+02   9.9781e+02   1.0527e+03   1.0309e+03   1.0219e+03   1.0495e+03 
  7.1458e+02   7.0383e+02   7.1777e+02   7.2974e+02   6.8562e+02   6.3132e+02   6.5335e+02   7.6938e+02   8.3368e+02   7.9753e+02   8.0794e+02   8.8462e+02   9.6400e+02   1.0476e+03   1.0894e+03   1.1734e+03   1.1626e+03   1.1771e+03   1.2040e+03 
  7.5792e+02   7.9491e+02   8.3450e+02   8.4234e+02   7.8573e+02   7.1101e+02   7.3202e+02   8.7743e+02   9.7061e+02   9.4612e+02   9.8348e+02   1.0949e+03   1.1758e+03   1.2304e+03   1.2414e+03   1.3165e+03   1.2603e+03   1.2654e+03   1.2999e+03 
  8.8742e+02   9.2795e+02   9.5681e+02   9.1998e+02   8.5285e+02   8.0914e+02   8.5184e+02   1.0525e+03   1.1934e+03   1.1690e+03   1.2154e+03   1.3186e+03   1.3607e+03   1.3551e+03   1.3366e+03   1.3945e+03   1.3393e+03   1.3477e+03   1.4256e+03 
  1.0229e+03   1.0521e+03   1.0735e+03   1.0160e+03   9.2825e+02   9.5251e+02   1.0572e+03   1.2421e+03   1.3775e+03   1.3602e+03   1.3775e+03   1.4525e+03   1.4686e+03   1.4312e+03   1.3988e+03   1.4934e+03   1.4425e+03   1.4499e+03   1.5589e+03 
