ALO Lidar Data on 20190829

UT (hour) for each column
  -0.3000   -0.2000   -0.1000    0.0000    0.1000    0.2000    0.3000    0.4000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  7.2508e+02   6.4312e+02   5.4725e+02   5.1950e+02   5.1130e+02   4.9251e+02   5.0098e+02   4.6973e+02 
  7.7649e+02   7.0931e+02   6.1003e+02   5.6908e+02   5.3305e+02   5.2347e+02   5.3821e+02   5.0745e+02 
  8.3482e+02   8.3474e+02   7.6633e+02   6.7651e+02   5.9191e+02   5.8146e+02   5.8035e+02   5.6378e+02 
  9.1949e+02   9.3526e+02   8.8457e+02   8.4538e+02   7.2168e+02   6.6222e+02   6.4097e+02   6.3582e+02 
  1.0185e+03   1.0385e+03   9.4987e+02   9.3863e+02   8.5583e+02   7.5963e+02   7.4367e+02   7.4102e+02 
  1.0546e+03   1.0801e+03   1.0021e+03   9.8238e+02   9.5659e+02   8.6073e+02   8.5879e+02   8.4916e+02 
  1.0568e+03   1.0792e+03   1.0215e+03   1.0085e+03   1.0005e+03   9.4665e+02   9.4112e+02   9.4593e+02 
  1.0567e+03   1.0841e+03   1.0419e+03   1.0508e+03   1.0451e+03   1.0054e+03   9.9163e+02   9.9089e+02 
  1.0783e+03   1.0709e+03   1.0030e+03   1.0213e+03   1.0533e+03   1.0093e+03   9.9330e+02   9.7846e+02 
  1.0789e+03   1.0464e+03   9.6397e+02   9.6474e+02   1.0088e+03   9.8343e+02   9.5656e+02   9.3273e+02 
  1.0849e+03   1.0590e+03   9.8269e+02   9.3703e+02   9.4383e+02   9.5013e+02   9.5286e+02   9.4003e+02 
  1.1629e+03   1.1760e+03   1.0985e+03   9.9401e+02   9.5354e+02   9.5546e+02   1.0185e+03   1.0381e+03 
  1.4195e+03   1.4488e+03   1.3528e+03   1.1308e+03   1.0853e+03   1.0943e+03   1.2484e+03   1.2659e+03 
  1.7721e+03   1.8394e+03   1.7546e+03   1.5145e+03   1.3948e+03   1.3853e+03   1.6130e+03   1.6556e+03 
  2.1032e+03   2.1164e+03   1.9371e+03   1.7966e+03   1.7666e+03   1.7460e+03   1.9469e+03   2.0468e+03 
  2.3101e+03   2.3164e+03   2.1037e+03   1.9519e+03   2.0261e+03   2.0821e+03   2.3016e+03   2.3845e+03 
  2.3955e+03   2.4622e+03   2.2733e+03   2.1010e+03   2.1879e+03   2.3057e+03   2.5145e+03   2.5896e+03 
  2.4419e+03   2.5101e+03   2.3458e+03   2.2213e+03   2.3156e+03   2.4037e+03   2.5444e+03   2.6725e+03 
  2.4512e+03   2.4778e+03   2.3277e+03   2.2689e+03   2.4097e+03   2.4818e+03   2.5675e+03   2.6766e+03 
  2.4607e+03   2.3881e+03   2.2453e+03   2.2741e+03   2.4591e+03   2.5144e+03   2.5591e+03   2.6131e+03 
  2.4883e+03   2.3300e+03   2.1561e+03   2.2002e+03   2.3809e+03   2.4546e+03   2.5193e+03   2.5346e+03 
  2.4889e+03   2.3059e+03   2.0813e+03   2.1183e+03   2.2664e+03   2.3590e+03   2.4700e+03   2.5081e+03 
  2.5556e+03   2.3348e+03   2.0366e+03   2.0358e+03   2.1538e+03   2.2865e+03   2.4272e+03   2.4580e+03 
  2.5701e+03   2.3236e+03   2.0205e+03   2.0398e+03   2.1421e+03   2.2392e+03   2.3624e+03   2.3775e+03 
  2.4727e+03   2.2679e+03   2.0266e+03   2.0729e+03   2.1502e+03   2.1930e+03   2.2586e+03   2.2611e+03 
  2.3134e+03   2.1642e+03   1.9773e+03   1.9918e+03   2.0852e+03   2.1163e+03   2.1435e+03   2.1116e+03 
  2.1483e+03   2.0357e+03   1.8772e+03   1.8945e+03   1.9665e+03   1.9885e+03   2.0018e+03   1.9857e+03 
  2.0151e+03   1.9000e+03   1.7609e+03   1.7697e+03   1.8428e+03   1.8704e+03   1.8697e+03   1.8634e+03 
  1.9022e+03   1.7948e+03   1.6356e+03   1.6325e+03   1.7063e+03   1.7459e+03   1.7551e+03   1.7489e+03 
  1.8227e+03   1.6947e+03   1.5313e+03   1.5096e+03   1.6777e+03   1.7817e+03   1.7194e+03   1.7088e+03 
  1.7176e+03   1.5898e+03   1.4524e+03   1.4709e+03   1.7759e+03   1.9893e+03   1.8374e+03   1.7802e+03 
  1.7389e+03   1.5847e+03   1.4354e+03   1.5090e+03   1.8708e+03   2.3634e+03   2.3266e+03   1.9757e+03 
  1.9972e+03   1.8160e+03   1.7848e+03   1.9503e+03   2.2890e+03   2.8762e+03   2.8488e+03   2.3485e+03 
  2.4261e+03   2.3916e+03   2.4959e+03   2.7127e+03   2.8077e+03   2.9842e+03   2.8869e+03   2.6006e+03 
  2.8525e+03   2.8897e+03   2.8852e+03   2.9110e+03   2.7907e+03   2.6335e+03   2.5503e+03   2.4035e+03 
  2.9026e+03   2.7470e+03   2.4867e+03   2.3816e+03   2.3061e+03   2.1400e+03   2.0711e+03   1.9563e+03 
