ALO Lidar Data on 20190701

UT (hour) for each column
  11.5000   11.6000   11.7000   11.8000   11.9000   12.0000   12.1000   12.2000   12.3000   12.4000   12.5000   12.6000   12.7000   12.8000   12.9000   13.0000   13.1000   13.2000   13.3000   13.4000   13.5000   13.6000   13.7000   13.8000   13.9000   14.0000   14.1000   14.2000   14.3000   14.4000   14.5000   14.6000   14.7000   14.8000   14.9000   15.0000   15.1000   15.2000   15.3000   15.4000   15.5000   15.6000   15.7000   15.8000   15.9000   16.0000   16.1000   16.2000   16.3000   16.4000   16.5000   16.6000   16.7000   16.8000   16.9000   17.0000   17.1000   17.2000   17.3000   17.4000   17.5000   17.6000   17.7000   17.8000   17.9000   18.0000   18.1000   18.2000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  2.9255e+01   3.5351e+01   3.8571e+01   3.1309e+01   3.1928e+01   7.6788e+01  -9.9900e+02  -9.9900e+02   8.0199e+01   8.0199e+01   8.0199e+01  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02   5.3955e+01   5.3955e+01  -9.9900e+02   6.3213e+01   6.3213e+01   1.1553e+02   8.7312e+01   4.3758e+01   8.3093e+01   6.1409e+01   7.0591e+01   8.5873e+01   8.9336e+01   7.9956e+01   6.6000e+01   7.8334e+01   8.6422e+01   9.0155e+01   8.5814e+01   7.5094e+01   1.0420e+02   1.0668e+02   1.2862e+02   1.4532e+02   1.1847e+02   9.9206e+01   7.7843e+01   7.9716e+01   1.2628e+02   1.5148e+02   1.3313e+02   1.2745e+02   1.6076e+02   1.2273e+02   1.5491e+02   1.9639e+02   2.0305e+02   2.0248e+02   1.9067e+02   1.5641e+02   1.0172e+02   1.1223e+02   1.4122e+02   1.8059e+02   2.1028e+02   2.2892e+02   2.0660e+02   1.6645e+02   1.5316e+02   2.3987e+02   2.1343e+02   1.9753e+02 
  4.1880e+01   6.6708e+01   6.0571e+01   4.0339e+01   5.4188e+01   9.3996e+01   8.2856e+01   4.6243e+01   7.0425e+01   5.6785e+01   5.5154e+01  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02   8.9764e+01   7.0930e+01   6.2645e+01   6.7353e+01   1.8341e+02   1.8341e+02   1.5078e+02   1.1290e+02   4.5155e+01   6.7083e+01   5.2787e+01   7.6134e+01   9.6349e+01   8.2557e+01   6.0391e+01   8.7192e+01   8.7192e+01   1.0353e+02   9.9382e+01   9.9062e+01   1.1325e+02   1.6103e+02   1.0234e+02   1.0545e+02   1.3167e+02   1.4332e+02   1.0447e+02   7.1084e+01   6.6838e+01   1.1910e+02   2.0587e+02   1.8347e+02   1.6448e+02   1.7832e+02   1.8126e+02   2.1015e+02   2.3998e+02   2.3719e+02   2.2149e+02   2.1357e+02   2.0681e+02   1.5282e+02   1.7428e+02   2.1724e+02   2.4614e+02   2.6292e+02   2.7421e+02   2.7367e+02   2.4969e+02   2.4167e+02   2.9266e+02   2.8657e+02   2.7845e+02 
  5.8737e+01   1.1989e+02   1.2499e+02   1.0924e+02   1.6885e+02   2.7322e+02   2.6995e+02   2.2315e+02   1.5550e+02   1.6016e+02   1.2625e+02   1.0592e+02   7.7642e+01   6.5074e+01   4.3589e+01   8.9779e+01   8.4398e+01   9.0401e+01   1.1556e+02   1.9948e+02   1.9948e+02   1.6057e+02   1.3049e+02   6.5909e+01   4.5668e+01   3.8665e+01   4.5379e+01   6.9757e+01   7.4311e+01   7.1388e+01   1.0076e+02   1.0076e+02   1.2658e+02   1.0811e+02   1.0301e+02   1.3603e+02   1.8806e+02   1.2706e+02   1.3153e+02   1.5145e+02   1.2798e+02   1.7185e+02   1.5682e+02   1.5121e+02   1.8257e+02   2.2242e+02   1.9878e+02   1.7990e+02   1.8145e+02   2.4690e+02   2.7980e+02   3.0501e+02   3.1545e+02   2.4093e+02   2.1121e+02   2.0237e+02   1.5837e+02   1.8281e+02   2.2832e+02   2.6157e+02   2.6342e+02   2.6898e+02   3.3223e+02   3.8742e+02   4.1383e+02   3.6305e+02   3.2945e+02   3.1105e+02 
  1.9255e+02   3.9842e+02   4.6566e+02   4.9164e+02   6.2076e+02   8.3418e+02   8.0427e+02   6.9653e+02   5.4467e+02   5.0117e+02   3.2322e+02   2.1514e+02   1.4359e+02   1.3400e+02   1.5510e+02   2.9654e+02   2.7595e+02   1.9247e+02   1.6360e+02   1.4907e+02   1.4907e+02   1.9124e+02   1.6002e+02   9.2511e+01   6.7889e+01   4.5082e+01   3.0873e+01   4.6905e+01   8.4482e+01   1.2633e+02   1.3937e+02   1.1611e+02   1.2871e+02   1.2577e+02   1.3300e+02   1.6915e+02   1.8465e+02   1.5585e+02   1.9702e+02   2.5732e+02   2.8695e+02   3.2210e+02   3.2233e+02   3.1166e+02   2.8694e+02   2.6258e+02   2.4162e+02   2.2532e+02   2.0817e+02   2.8402e+02   3.2728e+02   3.6226e+02   3.7698e+02   2.6524e+02   2.2497e+02   2.2438e+02   2.1353e+02   2.5410e+02   3.1248e+02   3.1591e+02   3.0094e+02   3.0212e+02   4.3112e+02   5.7351e+02   6.4745e+02   5.6517e+02   5.7828e+02   5.7791e+02 
  6.4175e+02   9.8954e+02   1.1132e+03   1.1486e+03   1.2184e+03   1.3702e+03   1.2437e+03   1.1212e+03   9.4297e+02   8.8723e+02   6.7241e+02   4.9407e+02   3.7628e+02   3.0810e+02   3.9264e+02   5.4162e+02   5.0135e+02   3.5139e+02   2.6047e+02   2.1959e+02   2.1959e+02   1.9265e+02   1.6702e+02   1.1245e+02   9.3688e+01   6.2567e+01   6.2739e+01   7.0044e+01   9.6572e+01   1.3014e+02   1.3612e+02   1.3959e+02   1.3155e+02   2.0337e+02   2.7655e+02   3.1480e+02   4.1064e+02   6.4354e+02   7.4992e+02   8.8783e+02   1.2792e+03   8.7457e+02   7.5547e+02   6.3769e+02   3.9501e+02   3.9128e+02   3.8176e+02   3.5585e+02   2.8032e+02   4.5429e+02   4.3699e+02   3.8917e+02   3.8950e+02   4.7874e+02   4.7438e+02   3.6706e+02   4.5189e+02   5.2973e+02   6.0436e+02   4.3609e+02   4.2935e+02   4.7126e+02   7.9658e+02   9.3622e+02   1.0130e+03   9.6866e+02   1.0130e+03   1.0438e+03 
