ALO Lidar Data on 20190203

UT (hour) for each column
   3.8000    3.9000    4.0000    4.1000    4.2000    4.3000    4.4000    4.5000    4.6000    4.7000    4.8000    4.9000    5.0000    5.1000    5.2000    5.3000    5.4000    5.5000    5.6000    5.7000    5.8000    5.9000    6.0000    6.1000    6.2000    6.3000    6.4000    6.5000    6.6000    6.7000    6.8000    6.9000    7.0000    7.1000    7.2000    7.3000    7.4000    7.5000    7.6000    7.7000    7.8000    7.9000    8.0000    8.1000    8.2000    8.3000    8.4000    8.5000    8.6000    8.7000    8.8000    8.9000    9.0000    9.1000    9.2000    9.3000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  5.0543e-01   5.4211e-01   5.2051e-01   4.6060e-01   5.0894e-01   5.5446e-01   6.0694e-01   5.6493e-01   5.2457e-01   1.0732e+00   1.8079e+00   9.2069e-01   5.4200e-01   5.8566e-01   6.2892e-01   5.2374e-01   5.3438e-01   6.0019e-01   6.2821e-01   6.0896e-01   5.4334e-01   5.2414e-01   5.4753e-01   5.2069e-01   4.4891e-01   5.5033e-01   6.3907e-01   5.5860e-01   5.9246e-01   6.1833e-01   5.0850e-01   4.7152e-01   4.8351e-01   4.2479e-01   5.1945e-01   5.9980e-01   6.1758e-01   5.8286e-01   5.2320e-01   2.3703e+00   6.4481e+00   3.4170e+00   9.3674e-01   6.6467e-01   6.4492e-01   6.4596e-01   7.0389e-01   6.4274e-01   6.2011e-01   4.9957e-01   5.8270e-01   6.3052e-01   4.8526e-01   6.5567e-01   6.0474e-01   5.2956e-01 
  5.2170e-01   5.6936e-01   5.7002e-01   4.5718e-01   5.0203e-01   6.1138e-01   4.1120e+00   1.6858e+01   1.1576e+01   1.5427e+01   1.4923e+01   3.0307e+00   7.8554e-01   8.3340e-01   7.6362e-01   6.8097e-01   6.9441e-01   6.7673e-01   6.1602e-01   5.9051e-01   5.2900e-01   6.3578e-01   6.1468e-01   6.0289e-01   6.2685e-01   6.6646e-01   6.3547e-01   5.2789e-01   5.7638e-01   6.7278e-01   7.2178e-01   4.7199e-01   5.0033e-01   5.5484e-01   6.7577e-01   6.8664e-01   5.9333e-01   6.1169e-01   1.0343e+00   9.1409e+00   2.3178e+01   6.2849e+00   2.3677e+00   1.0133e+00   6.2575e-01   5.4955e-01   6.1761e-01   6.3181e-01   6.4649e-01   4.8127e-01   5.6542e-01   6.0819e-01   4.3467e-01   5.4500e-01   5.4290e-01   6.0408e-01 
  5.3520e-01   7.1830e-01   1.6616e+00   8.2054e-01   6.8114e-01   2.7285e+01   1.0145e+02   1.6037e+02   1.2581e+02   7.3667e+01   2.5765e+01   3.3950e+00   1.1618e+00   8.5811e-01   7.6445e-01   7.4249e-01   1.2091e+00   3.5197e+00   1.3561e+00   6.5943e-01   5.6530e-01   5.7933e-01   7.1222e-01   7.7183e-01   6.8651e-01   5.8872e-01   5.5770e-01   6.0981e-01   5.7628e-01   6.9505e-01   7.4455e-01   6.7657e-01   6.1715e-01   6.0784e-01   7.0531e-01   6.7825e-01   6.4048e-01   1.0661e+01   3.1781e+01   3.5891e+01   5.7089e+01   1.7207e+01   5.2625e+00   1.5141e+00   6.5107e-01   5.7697e-01   4.7718e-01   6.5648e-01   6.3231e-01   5.6785e-01   6.0137e-01   7.4087e-01   6.5827e-01   6.2946e-01   6.7703e-01   7.3481e-01 
  4.9967e+01   1.0344e+02   1.3359e+02   9.2219e+01   6.7622e+01   2.2259e+02   3.9449e+02   3.8885e+02   2.5535e+02   1.2257e+02   9.5838e+01   1.1150e+02   6.3148e+01   7.1527e+01   5.4969e+01   2.0059e+01   1.6287e+01   5.6512e+01   1.2336e+01   6.3143e-01   7.7023e-01   6.4724e-01   7.8524e-01   1.1003e+00   1.7312e+00   1.2455e+01   4.2164e+00   6.0692e-01   6.5789e-01   6.5087e-01   5.5622e-01   6.5816e-01   6.3610e-01   5.7497e-01   6.3263e-01   5.8520e-01   4.0333e+00   6.7741e+01   1.4931e+02   1.1915e+02   9.7321e+01   4.7132e+01   1.5311e+01   2.9036e+00   1.2663e+00   1.7763e+00   8.8286e-01   8.5797e-01   8.4070e-01   6.6175e-01   6.9116e-01   6.8660e-01   6.8142e-01   6.4785e-01   6.7941e-01   6.5847e-01 
  3.7292e+02   4.5496e+02   4.7934e+02   3.8366e+02   5.5123e+02   8.7321e+02   7.7912e+02   5.7702e+02   2.6891e+02   1.3242e+02   4.4167e+02   6.1472e+02   4.8810e+02   3.7033e+02   2.7508e+02   1.7771e+02   1.1884e+02   1.8031e+02   5.4293e+01   3.2451e+01   1.6375e+01   4.4816e+00   2.3459e+01   1.5336e+02   1.5426e+02   1.6229e+02   8.7896e+01   4.3607e+00   8.7563e-01   6.2209e-01   6.2325e-01   6.6360e-01   6.4084e-01   1.1246e+00   2.5842e+00   5.4800e+00   6.7170e+01   2.0950e+02   2.5591e+02   1.8484e+02   1.1653e+02   7.1608e+01   2.8661e+01   6.6601e+00   3.9007e+00   3.0114e+00   1.6926e+00   1.3994e+00   1.0317e+00   6.7816e-01   6.9905e-01   5.8708e-01   6.1062e-01   6.8709e-01   6.2520e-01   6.7328e-01 
