ALO Lidar Data on 20190706

UT (hour) for each column
  11.6000   11.7000   11.8000   11.9000   12.0000   12.1000   12.2000   12.3000   12.4000   12.5000   12.6000   12.7000   12.8000   12.9000   13.0000   13.1000   13.2000   13.3000   13.4000   13.5000   13.6000   13.7000   13.8000   13.9000   14.0000   14.1000   14.2000   14.3000   14.4000   14.5000   14.6000   14.7000   14.8000   14.9000   15.0000   15.1000   15.2000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  5.5670e+01   3.3724e+01   4.0041e+01   4.3761e+01   4.3642e+01   3.9758e+01   4.5332e+01   4.4166e+01   7.0553e+01   5.6023e+01   5.1912e+01   5.9264e+01   1.0260e+02   1.4885e+02   7.4790e+01   5.2347e+01   1.9439e+01   1.9439e+01   8.7275e+01   8.7275e+01  -9.9900e+02   1.5340e+02   1.5340e+02   1.5340e+02  -9.9900e+02  -9.9900e+02   6.7379e+01   7.5811e+01   1.6206e+02   1.8112e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
  7.4805e+01   4.9941e+01   4.4764e+01   4.8881e+01   5.5895e+01   5.0942e+01  -9.9900e+02   7.5631e+01   7.5631e+01   5.6074e+01   5.0980e+01   7.3762e+01   1.8219e+02   1.6557e+02   8.9088e+01   8.9088e+01   7.3646e+01   7.3646e+01  -9.9900e+02  -9.9900e+02  -9.9900e+02   9.1167e+01   9.1167e+01   9.8035e+01   1.0122e+02  -9.9900e+02  -9.9900e+02   9.4525e+01   9.4525e+01   6.6443e+01   6.6310e+01   9.8858e+01   1.3626e+02   1.3626e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02 
  7.3927e+01   6.0324e+01   6.6947e+01   6.2266e+01   6.7767e+01   1.0061e+02  -9.9900e+02   3.7657e+01   3.7657e+01   3.7657e+01   6.3857e+01   7.0452e+01   1.0798e+02   1.1011e+02   1.0111e+02   1.0111e+02   6.4328e+01   6.4328e+01  -9.9900e+02  -9.9900e+02   3.9285e+01   3.9648e+01   4.3320e+01   8.2816e+01   1.0004e+02   9.9293e+01  -9.9900e+02   1.5271e+02   1.5271e+02   1.5271e+02   1.1803e+02   1.7470e+02   4.6824e+02   4.2775e+02   4.2051e+02   6.2702e+01   6.2702e+01 
  7.6841e+01   8.4095e+01   1.0212e+02   9.6099e+01   8.7782e+01   1.0115e+02   1.1419e+02   1.1166e+02   7.5946e+01   6.0940e+01   8.8427e+01   1.0822e+02   1.5824e+02   2.5021e+02   1.2083e+02   7.3888e+01   6.1335e+01   5.4209e+01   6.6497e+01   6.4803e+01   5.9753e+01   4.6935e+01   3.2145e+01   1.3454e+02   1.4848e+02   1.1401e+02   1.0549e+02   1.1712e+02   2.3614e+02   2.6243e+02   3.8607e+02   4.5489e+02   8.1130e+02   7.1394e+02   5.2946e+02   3.7958e+02   2.7776e+02 
  1.0140e+02   9.7230e+01   1.1325e+02   1.1185e+02   1.3639e+02   1.4292e+02   1.4980e+02   1.6752e+02   1.5472e+02   8.4521e+01   7.7383e+01   1.0403e+02   2.0857e+02   1.7156e+02   1.1437e+02   6.0759e+01   8.5143e+01   7.8537e+01   7.2768e+01   1.0263e+02   6.8792e+01   7.1115e+01   7.3795e+01   7.3795e+01   1.3839e+02   1.3839e+02   4.6483e+02   4.6209e+02   4.3413e+02   4.0204e+02   5.1439e+02   7.4361e+02   8.7611e+02   8.2598e+02   6.8048e+02   5.8727e+02   5.6421e+02 
  1.3519e+02   1.4741e+02   1.7344e+02   1.6009e+02   2.3012e+02   2.6379e+02   2.5483e+02   2.3218e+02   2.3717e+02   1.9531e+02   1.7208e+02   1.6358e+02   1.8510e+02   1.0912e+02   8.3612e+01   6.7515e+01   8.6942e+01   8.9598e+01   1.1062e+02   1.8249e+02   2.3754e+02   2.6526e+02   3.1355e+02   3.2295e+02   4.9542e+02   5.6202e+02   7.4020e+02   8.5010e+02   7.2231e+02   7.2106e+02   7.8770e+02   8.7237e+02   8.9558e+02   8.5441e+02   8.5882e+02   8.2330e+02   7.0838e+02 
