ALO Lidar Data on 20190905

UT (hour) for each column
  -0.2000   -0.1000    0.0000    0.1000    0.2000    0.3000    0.4000    0.5000    0.6000    0.7000    0.8000    0.9000    1.0000    1.1000    1.2000    1.3000    1.4000    1.5000    1.6000    1.7000    1.8000    1.9000    2.0000    2.1000    2.2000    2.3000    2.4000    2.5000    2.6000    2.7000    2.8000    2.9000    3.0000    3.1000    3.2000    3.3000    3.4000    3.5000    3.6000    3.7000    3.8000    3.9000    4.0000    4.1000    4.2000    4.3000    4.4000    4.5000    4.6000    4.7000    4.8000    4.9000    5.0000    5.1000    5.2000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  3.2557e+02   4.0031e+02   4.3000e+02   4.1507e+02   4.5425e+02   4.6651e+02   4.5606e+02   4.3149e+02   4.0538e+02   4.0249e+02   4.0418e+02   3.3013e+02   3.0548e+02  -9.9900e+02   2.8266e+02   2.5838e+02   2.2586e+02   1.8102e+02   1.2068e+02   7.1527e+01   4.0564e+01   2.7164e+01   1.8918e+01  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02   1.5308e+01   1.5308e+01   1.5308e+01  -9.9900e+02  -9.9900e+02   2.0156e+02   1.6734e+02  -9.9900e+02   3.2623e+01   4.0599e+01   3.4240e+01   2.3538e+01   3.5220e+01   8.8188e+01   4.1961e+01   6.1073e+01   4.2884e+01   8.7562e+00  -9.9900e+02  -9.9900e+02 
  4.3399e+02   4.8605e+02   4.8171e+02   4.6704e+02   4.7600e+02   4.7885e+02   4.5529e+02   4.3179e+02   4.0249e+02   3.9969e+02   4.0319e+02   3.5239e+02   3.3656e+02  -9.9900e+02   3.0243e+02   2.7708e+02   2.5272e+02   2.1235e+02   1.3946e+02   1.1190e+02   8.9808e+01   5.1687e+01   2.9334e+01   2.4240e+01  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02   1.0556e+02   1.0556e+02   1.0556e+02  -9.9900e+02  -9.9900e+02   2.8091e+02   2.5795e+02  -9.9900e+02   1.2576e+02   1.2055e+02   9.8935e+01   8.7209e+01   9.5486e+01   9.0934e+01   7.4584e+01   9.1770e+01   7.5975e+01   2.1148e+01  -9.9900e+02   2.6027e+01 
  5.1500e+02   5.4656e+02   5.0450e+02   4.9361e+02   4.8846e+02   4.7754e+02   4.4826e+02   4.3278e+02   4.0728e+02   4.0187e+02   4.1690e+02   4.0664e+02   4.0320e+02  -9.9900e+02   3.3443e+02   2.9570e+02   2.6659e+02   2.2740e+02   1.7127e+02   1.4787e+02   1.1855e+02   7.4499e+01   4.4691e+01   3.2885e+01   2.7172e+01  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02   2.3457e+02   2.3457e+02   2.3457e+02  -9.9900e+02  -9.9900e+02   3.6048e+02   3.4099e+02  -9.9900e+02   2.2906e+02   2.2777e+02   2.1558e+02   2.1256e+02   2.1352e+02   1.8267e+02   1.3909e+02   1.2784e+02   1.0227e+02   2.6347e+01  -9.9900e+02   9.2484e+01 
  5.8688e+02   5.8295e+02   5.4159e+02   5.2832e+02   5.2837e+02   5.0382e+02   4.6677e+02   4.4394e+02   4.2230e+02   4.1548e+02   4.3781e+02   4.5714e+02   4.5330e+02  -9.9900e+02   3.5647e+02   3.1533e+02   2.8164e+02   2.4239e+02   1.9841e+02   1.8240e+02   1.7024e+02   1.2735e+02   9.0481e+01   7.8599e+01   6.8711e+01  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02   3.0898e+02   3.0898e+02   3.0898e+02  -9.9900e+02  -9.9900e+02   4.4623e+02   4.2293e+02  -9.9900e+02   3.9258e+02   4.0143e+02   3.8146e+02   3.6242e+02   3.4206e+02   3.0265e+02   2.6298e+02   2.5936e+02   2.2090e+02   1.2115e+02  -9.9900e+02   1.5703e+02 
  6.5224e+02   6.4926e+02   6.0700e+02   5.9910e+02   5.9547e+02   5.3305e+02   4.9064e+02   4.6336e+02   4.4591e+02   4.6375e+02   4.9248e+02   5.0017e+02   4.8976e+02  -9.9900e+02   3.8816e+02   3.4178e+02   3.0013e+02   2.6169e+02   2.2025e+02   2.1783e+02   2.2662e+02   1.9005e+02   1.3733e+02   1.1746e+02   1.5773e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02  -9.9900e+02   3.4344e+02   3.4344e+02   3.4344e+02  -9.9900e+02  -9.9900e+02   6.5209e+02   6.0484e+02  -9.9900e+02   6.4006e+02   6.2912e+02   5.5021e+02   5.0481e+02   4.6398e+02   4.3133e+02   4.2447e+02   4.3687e+02   4.3649e+02   4.8348e+02  -9.9900e+02   3.4597e+02 
