ALO Lidar Data on 20171213

UT (hour) for each column
   0.1000    0.2000    0.3000    0.4000    0.5000    0.6000    0.7000    0.8000    0.9000    1.0000    1.1000    1.2000    1.3000    1.4000    1.5000    1.6000    1.7000    1.8000    1.9000    2.0000    2.1000    2.2000    2.3000    2.4000    2.5000    2.6000    2.7000    2.8000    2.9000    3.0000    3.1000    3.2000    3.3000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  7.9826e+01   4.8204e+01   3.5377e+01   2.6579e+01   2.9615e+01   5.2257e+01   6.0949e+01   8.9099e+01   1.1370e+02   1.6741e+02   1.7912e+02   2.9661e+02   2.2528e+02   2.0487e+02   1.6010e+02   8.9971e+01   3.6640e+01   2.0907e+01   2.3126e+01   2.4738e+01   2.7686e+01   5.1566e+01   5.7576e+01   4.1349e+01   3.4077e+01   3.5488e+01   2.9335e+01   2.0569e+01   1.7147e+01   2.2667e+01   1.8039e+01   1.2787e+01   3.4776e+01 
  1.8601e+02   1.4989e+02   1.7759e+02   1.8545e+02   2.3689e+02   2.2343e+02   2.2897e+02   2.7923e+02   3.0276e+02   3.4687e+02   3.6581e+02   4.7966e+02   4.0179e+02   3.7474e+02   2.7390e+02   1.7650e+02   1.1208e+02   7.5279e+01   6.4787e+01   4.2678e+01   3.2457e+01   4.2041e+01   6.4510e+01   5.7913e+01   6.0785e+01   7.1760e+01   7.6691e+01   5.9728e+01   9.9672e+01   1.0691e+02   7.3542e+01   4.9750e+01   1.2159e+02 
  4.1767e+02   3.9352e+02   4.4958e+02   4.8661e+02   5.5518e+02   4.8978e+02   4.8450e+02   5.2165e+02   5.2116e+02   5.1765e+02   4.9165e+02   5.9783e+02   5.1160e+02   4.8760e+02   4.3853e+02   3.2625e+02   2.3759e+02   1.5386e+02   1.2107e+02   8.7740e+01   9.0070e+01   8.5272e+01   8.4059e+01   1.8982e+02   2.4433e+02   2.5075e+02   2.8024e+02   2.1896e+02   3.0957e+02   2.1262e+02   2.2598e+02   2.0605e+02   3.1785e+02 
  6.4413e+02   6.4267e+02   7.3009e+02   8.2561e+02   8.6829e+02   7.3884e+02   6.9651e+02   7.2952e+02   7.0766e+02   6.8388e+02   6.1609e+02   7.9466e+02   6.5547e+02   6.4774e+02   6.1468e+02   5.1208e+02   4.0960e+02   3.0005e+02   2.4710e+02   1.9742e+02   2.1231e+02   2.2178e+02   1.7122e+02   4.8346e+02   6.4525e+02   6.2208e+02   6.2473e+02   4.9971e+02   5.9851e+02   4.9954e+02   5.8657e+02   6.6434e+02   8.4885e+02 
  8.6205e+02   9.0891e+02   1.0469e+03   1.1312e+03   1.1650e+03   1.0152e+03   9.6457e+02   9.9471e+02   9.4907e+02   9.1317e+02   8.3111e+02   1.0691e+03   9.0539e+02   8.9921e+02   8.3865e+02   7.1574e+02   6.1438e+02   5.1546e+02   4.7452e+02   4.1624e+02   4.6062e+02   4.7138e+02   4.0625e+02   9.1285e+02   1.1349e+03   9.3169e+02   9.1576e+02   8.1790e+02   9.0972e+02   8.8956e+02   1.0066e+03   1.3481e+03   1.4697e+03 
  1.1683e+03   1.2784e+03   1.4494e+03   1.5345e+03   1.5257e+03   1.3341e+03   1.2707e+03   1.2700e+03   1.2043e+03   1.1260e+03   1.0456e+03   1.2311e+03   1.1437e+03   1.1358e+03   1.0514e+03   9.1977e+02   8.1268e+02   7.1527e+02   6.9984e+02   7.1133e+02   8.0832e+02   8.2934e+02   7.8632e+02   1.3838e+03   1.6838e+03   1.2173e+03   1.1566e+03   1.0593e+03   1.2936e+03   1.3729e+03   1.5630e+03   2.1262e+03   2.2459e+03 
  1.5144e+03   1.7048e+03   1.9093e+03   1.9104e+03   1.7577e+03   1.5745e+03   1.4919e+03   1.4869e+03   1.4512e+03   1.3242e+03   1.1971e+03   1.2828e+03   1.2356e+03   1.2186e+03   1.1597e+03   1.0810e+03   1.0071e+03   9.4934e+02   9.3107e+02   9.6448e+02   1.0790e+03   1.2580e+03   1.3404e+03   1.5610e+03   1.8873e+03   1.4857e+03   1.5008e+03   1.4521e+03   1.9159e+03   2.1713e+03   2.2562e+03   2.6221e+03   2.6504e+03 
  1.9066e+03   2.1644e+03   2.2977e+03   2.2220e+03   1.8666e+03   1.7585e+03   1.8273e+03   1.8667e+03   1.7741e+03   1.4931e+03   1.2774e+03   1.4200e+03   1.2864e+03   1.2430e+03   1.1942e+03   1.1488e+03   1.1098e+03   1.1065e+03   1.1345e+03   1.2856e+03   1.6000e+03   1.9632e+03   1.8949e+03   1.7096e+03   1.9447e+03   1.6641e+03   1.8212e+03   1.8918e+03   2.3488e+03   2.6423e+03   2.5992e+03   2.8895e+03   2.8203e+03 
