He,O,N2,O2,Ar,TotMassDen,Tn,alt_km,lat,lon,hour,TotNumDen,potential_temperature
271346170000000.0,3.985118e+17,3.4269172e+19,8.2835188e+18,3.8481265e+17,2.0689895e-06,187.11,93.0,-31.17,-70.81,2016-11-05 00:00:00,4.333628659617e+19,34500.60135696429
252224400000000.0,4.1828439e+17,3.1427684e+19,7.5548862e+18,3.5112735e+17,1.8965005e-06,186.96,93.5,-31.17,-70.81,2016-11-05 00:00:00,3.9752234164400005e+19,35796.88444782266
234622570000000.0,4.3601804e+17,2.8815139e+19,6.8868664e+18,3.2019802e+17,1.7380015e-06,186.86,94.0,-31.17,-70.81,2016-11-05 00:00:00,3.645845608257e+19,38134.58947360058
218418060000000.0,4.5152929e+17,2.6413471e+19,6.274633e+18,2.9180911e+17,1.592377e-06,186.81,94.5,-31.17,-70.81,2016-11-05 00:00:00,3.343166081806e+19,37877.443561266125
203498080000000.0,4.6468591e+17,2.4206078e+19,5.7137623e+18,2.6576237e+17,1.4586037e-06,186.81,95.0,-31.17,-70.81,2016-11-05 00:00:00,3.0650492078079996e+19,38415.7093396062
189758790000000.0,4.7540728e+17,2.217771e+19,5.2001754e+18,2.4187557e+17,1.335742e-06,186.88,95.5,-31.17,-70.81,2016-11-05 00:00:00,2.809535800879e+19,39193.695451785075
177104490000000.0,4.836628e+17,2.03143e+19,4.7301199e+18,2.199808e+17,1.2229267e-06,187.02,96.0,-31.17,-70.81,2016-11-05 00:00:00,2.574824060449e+19,40826.41339303696
165446890000000.0,4.8946691e+17,1.8602892e+19,4.3001281e+18,1.9992305e+17,1.1193614e-06,187.23,96.5,-31.17,-70.81,2016-11-05 00:00:00,2.359257550689e+19,42195.42051046967
154704570000000.0,4.9287643e+17,1.7031547e+19,3.9070065e+18,1.8155931e+17,1.0243139e-06,187.52,97.0,-31.17,-70.81,2016-11-05 00:00:00,2.161314394457e+19,41410.69509852478
144802340000000.0,4.9398367e+17,1.5589233e+19,3.5478054e+18,1.6475739e+17,9.3710804e-07,187.91,97.5,-31.17,-70.81,2016-11-05 00:00:00,1.979592426234e+19,43662.80987885806
135670590000000.0,4.9291031e+17,1.4265761e+19,3.2197939e+18,1.4939499e+17,8.5712054e-07,188.38,98.0,-31.17,-70.81,2016-11-05 00:00:00,1.812799587059e+19,44547.697770385814
127245490000000.0,4.8980357e+17,1.3051748e+19,2.920459e+18,1.353593e+17,7.8377798e-07,188.96,98.5,-31.17,-70.81,2016-11-05 00:00:00,1.659749711549e+19,45227.1121869601
119467590000000.0,4.8482594e+17,1.1938481e+19,2.6474648e+18,1.2254538e+17,7.165487e-07,189.65,99.0,-31.17,-70.81,2016-11-05 00:00:00,1.519343658759e+19,47268.45884057128
