He,O,N2,O2,Ar,Tn,alt_km,lat,lon,hour,potential_temperature
124384080000000.0,4.770146e+17,1.2346413e+19,2.7738762e+18,1.2749439e+17,193.78,98.5,-31.17,-70.81,2016-10-31 00:00:00,0.0030322479474177923
116986830000000.0,4.7236122e+17,1.1297235e+19,2.5160823e+18,1.1544848e+17,194.84,99.0,-31.17,-70.81,2016-10-31 00:00:00,0.003110158579455335
110179940000000.0,4.6621265e+17,1.0339076e+19,2.2819061e+18,1.045011e+17,195.97,99.5,-31.17,-70.81,2016-10-31 00:00:00,0.003192036021881954
103910830000000.0,4.5873951e+17,9.4640804e+18,2.0692537e+18,9.4557004e+16,197.18,100.0,-31.17,-70.81,2016-10-31 00:00:00,0.0031964514645765694
98131371000000.0,4.5011037e+17,8.6650219e+18,1.8762047e+18,8.5528725e+16,198.47,100.5,-31.17,-70.81,2016-10-31 00:00:00,0.0031910838574493814
92797684000000.0,4.4049047e+17,7.9353019e+18,1.7010033e+18,7.733598e+16,199.85,101.0,-31.17,-70.81,2016-10-31 00:00:00,0.00332208913869381
87870023000000.0,4.3003934e+17,7.2689011e+18,1.5420488e+18,6.9905472e+16,201.3,101.5,-31.17,-70.81,2016-10-31 00:00:00,0.003508361908322989
83311922000000.0,4.1890651e+17,6.6602856e+18,1.3978717e+18,6.3169645e+16,202.85,102.0,-31.17,-70.81,2016-10-31 00:00:00,0.003520810675845698
79090321000000.0,4.0723186e+17,6.1044121e+18,1.267133e+18,5.7066784e+16,204.49,102.5,-31.17,-70.81,2016-10-31 00:00:00,0.003605365413924829
75175056000000.0,3.9514355e+17,5.5966577e+18,1.1486075e+18,5.1540183e+16,206.22,103.0,-31.17,-70.81,2016-10-31 00:00:00,0.0036624838820784986
71538838000000.0,3.8275831e+17,5.1328045e+18,1.0411787e+18,4.6537976e+16,208.04,103.5,-31.17,-70.81,2016-10-31 00:00:00,0.003953270214939149
68156752000000.0,3.7018028e+17,4.7089906e+18,9.4382477e+17,4.2012563e+16,209.97,104.0,-31.17,-70.81,2016-10-31 00:00:00,0.0037979520754554638
65006385000000.0,3.5750304e+17,4.3217077e+18,8.5561899e+17,3.7920575e+16,212.0,104.5,-31.17,-70.81,2016-10-31 00:00:00,0.004032393109295411
62067336000000.0,3.4480805e+17,3.9677342e+18,7.7571315e+17,3.4222179e+16,214.15,105.0,-31.17,-70.81,2016-10-31 00:00:00,0.004197109003642186
