ALO Lidar Data on 20190825

UT (hour) for each column
   2.9000    3.0000    3.1000    3.2000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
  2.6373e+01   1.5683e+01   6.6788e+01   8.9029e+01 
  4.6712e+01   3.2355e+01   7.5480e+01   9.4722e+01 
  9.9304e+01   7.4544e+01   9.2431e+01   9.6091e+01 
  1.4811e+02   1.1895e+02   1.2377e+02   1.1864e+02 
  1.6288e+02   1.7183e+02   1.8567e+02   1.7569e+02 
  2.0666e+02   2.7221e+02   3.0221e+02   2.6917e+02 
  3.0350e+02   4.2722e+02   4.3752e+02   3.8036e+02 
  4.0950e+02   5.7669e+02   5.5817e+02   5.2541e+02 
  5.3357e+02   7.5075e+02   6.9248e+02   6.7631e+02 
  6.8515e+02   9.4356e+02   7.9795e+02   7.6710e+02 
  8.6136e+02   1.1058e+03   8.7899e+02   7.9502e+02 
  1.1220e+03   1.2979e+03   1.0075e+03   9.0614e+02 
  1.3243e+03   1.4695e+03   1.1752e+03   1.0722e+03 
  1.4829e+03   1.5962e+03   1.3425e+03   1.3374e+03 
  1.5808e+03   1.8846e+03   1.5852e+03   1.5070e+03 
  1.7752e+03   2.5213e+03   2.0968e+03   1.6501e+03 
  2.0901e+03   2.9148e+03   2.2947e+03   1.8252e+03 
  2.0961e+03   2.9268e+03   2.3552e+03   1.9461e+03 
  2.4925e+03   3.0827e+03   2.5133e+03   2.1366e+03 
  3.8779e+03   3.7196e+03   2.8831e+03   2.4910e+03 
  5.0730e+03   4.3720e+03   3.2458e+03   2.8486e+03 
  5.5176e+03   4.9148e+03   3.6518e+03   3.1384e+03 
  5.5535e+03   5.2821e+03   4.0490e+03   3.3670e+03 
  5.3697e+03   5.2698e+03   4.0584e+03   3.4805e+03 
  5.0876e+03   4.8569e+03   3.7044e+03   3.3722e+03 
  4.6668e+03   4.2425e+03   3.2573e+03   3.0363e+03 
  4.1345e+03   3.6842e+03   2.8369e+03   2.6975e+03 
  3.6203e+03   3.2078e+03   2.5511e+03   2.4704e+03 
  3.1609e+03   2.8355e+03   2.2911e+03   2.1769e+03 
  2.8222e+03   2.5593e+03   2.1234e+03   2.0109e+03 
  2.5417e+03   2.3252e+03   1.9565e+03   1.8450e+03 
  2.3151e+03   2.1643e+03   1.8054e+03   1.7011e+03 
  2.1141e+03   2.0135e+03   1.7033e+03   1.6063e+03 
  1.9417e+03   1.8457e+03   1.5597e+03   1.4988e+03 
  1.7931e+03   1.7041e+03   1.4298e+03   1.3929e+03 
  1.6364e+03   1.5515e+03   1.3160e+03   1.2954e+03 
  1.4721e+03   1.3871e+03   1.1854e+03   1.1715e+03 
  1.3075e+03   1.2369e+03   1.0830e+03   1.0623e+03 
  1.1446e+03   1.0875e+03   9.5568e+02   9.3211e+02 
  1.0002e+03   9.4652e+02   8.1690e+02   7.9726e+02 
  8.5085e+02   8.0767e+02   7.0576e+02   6.9373e+02 
  7.1085e+02   6.8142e+02   6.1878e+02   6.0359e+02 
  5.9188e+02   5.9236e+02   5.4473e+02   5.2527e+02 
  5.2587e+02   5.2156e+02   4.8026e+02   4.7388e+02 
  4.7651e+02   4.6569e+02   4.2761e+02   4.2203e+02 
  4.3715e+02   4.2950e+02   4.0620e+02   3.7878e+02 
  3.8173e+02   3.6157e+02   3.3706e+02   3.1748e+02 
  3.1984e+02   2.8071e+02   2.8194e+02   2.6662e+02 
  2.4724e+02   2.2143e+02   2.3711e+02   2.2408e+02 
  1.8688e+02   1.6552e+02   1.9770e+02   1.9075e+02 
  1.4289e+02   1.2498e+02   1.4780e+02   1.4767e+02 
  9.1787e+01   8.4877e+01   1.1566e+02   1.2360e+02 
  5.4023e+01   5.5937e+01   1.0305e+02   1.1338e+02 
  3.5836e+01   3.6653e+01   9.2644e+01   1.1408e+02 
  2.6271e+01   2.7509e+01   8.2915e+01   1.0173e+02 
  1.7393e+01   2.1979e+01   7.7517e+01   9.4272e+01 
  1.3361e+01   2.1400e+01   7.0338e+01   8.8515e+01 
  1.0129e+01   2.1247e+01   7.3040e+01   8.9594e+01 
  8.6890e+00   1.6036e+01   7.2094e+01   9.1290e+01 
  8.6144e+00   1.6370e+01   1.0849e+02   1.0396e+02 
  8.4742e+00   2.1097e+01   7.7194e+01   8.4798e+01 
  6.7749e+00   1.7812e+01   1.4119e+02   9.2511e+01 
  8.1193e+00   1.5183e+01   9.1480e+01   8.6602e+01 
  5.7658e+00   1.3226e+01   1.0848e+02   1.0990e+02 
  4.5622e+00   2.1034e+01   8.9710e+01   9.5468e+01 
  3.9078e+00   1.8911e+01   8.6342e+01   1.0270e+02 
  4.4676e+00   1.7541e+01   1.4071e+02   9.9681e+01 
  2.7006e+00   2.7841e+00   2.1477e+02   1.0304e+02 
  3.7145e+00   8.2060e+00   1.0009e+02   8.8857e+01 
  6.3196e+00   1.2133e+01   8.9474e+01   8.2696e+01 
  5.2724e+00   1.2257e+01   1.2991e+02   9.8897e+01 

Na Density Error (cm^(-3))
